,index,Predicted
0,0,301.2754258269435
1,1,301.2855425219639
2,2,301.29565921698435
3,3,301.3057759120048
4,4,301.3158926070252
5,5,301.32600930204563
6,6,301.33612599706606
7,7,301.3462426920865
8,8,301.3563593871069
9,9,301.36647608212735
10,10,301.3765927771478
11,11,301.3867094721682
12,12,301.39682616718864
13,13,301.40694286220906
14,14,301.4170595572295
15,15,301.4271762522499
16,16,301.43729294727035
17,17,301.4474096422908
18,18,301.45752633731126
19,19,301.4676430323317
20,20,301.4777597273521
21,21,301.48787642237255
22,22,301.497993117393
23,23,301.5081098124134
24,24,301.51822650743384
25,25,301.52834320245427
26,26,301.5384598974747
27,27,301.5485765924951
28,28,301.55869328751555
29,29,301.568809982536
30,30,301.5789266775564
31,31,301.58904337257684
32,32,301.59916006759727
33,33,301.6092767626177
34,34,301.6193934576381
35,35,301.62951015265855
36,36,301.639626847679
37,37,301.6497435426994
38,38,301.65986023771984
39,39,301.66997693274027
40,40,301.6800936277607
41,41,301.6902103227811
42,42,301.70032701780156
43,43,301.710443712822
44,44,301.7205604078424
45,45,301.73067710286284
46,46,301.74079379788327
47,47,301.7509104929037
48,48,301.7610271879241
49,49,301.77114388294456
50,50,301.781260577965
51,51,301.7913772729854
52,52,301.80149396800584
53,53,301.8116106630263
54,54,301.82172735804676
55,55,301.8318440530672
56,56,301.8419607480876
57,57,301.85207744310804
58,58,301.8621941381285
59,59,301.8723108331489
60,60,301.88242752816933
61,61,301.89254422318976
62,62,301.9026609182102
63,63,301.9127776132306
64,64,301.92289430825105
65,65,301.9330110032715
66,66,301.9431276982919
67,67,301.95324439331233
68,68,301.96336108833276
69,69,301.9734777833532
70,70,301.9835944783736
71,71,301.99371117339405
72,72,302.0038278684145
73,73,302.0139445634349
74,74,302.02406125845533
75,75,302.03417795347576
76,76,302.0442946484962
77,77,302.0544113435166
78,78,302.06452803853705
79,79,302.0746447335575
80,80,302.0847614285779
81,81,302.09487812359833
82,82,302.10499481861876
83,83,302.1151115136392
84,84,302.1252282086596
85,85,302.13534490368005
86,86,302.1454615987005
87,87,302.1555782937209
88,88,302.16569498874134
89,89,302.1758116837618
90,90,302.18592837878225
91,91,302.1960450738027
92,92,302.2061617688231
93,93,302.21627846384354
94,94,302.22639515886397
95,95,302.2365118538844
96,96,302.2466285489048
97,97,302.25674524392525
98,98,302.2668619389457
99,99,302.2769786339661
100,100,302.28709532898654
101,101,302.29721202400697
102,102,302.3073287190274
103,103,302.3174454140478
104,104,302.32756210906825
105,105,302.3376788040887
106,106,302.3477954991091
107,107,302.35791219412954
108,108,302.36802888914997
109,109,302.3781455841704
110,110,302.3882622791908
111,111,302.39837897421125
112,112,302.4084956692317
113,113,302.4186123642521
114,114,302.42872905927254
115,115,302.43884575429297
116,116,302.4489624493134
117,117,302.4590791443338
118,118,302.46919583935426
119,119,302.4793125343747
120,120,302.4894292293951
121,121,302.49954592441554
122,122,302.50966261943597
123,123,302.5197793144564
124,124,302.52989600947683
125,125,302.5400127044973
126,126,302.55012939951774
127,127,302.5602460945382
128,128,302.5703627895586
129,129,302.58047948457903
130,130,302.59059617959946
131,131,302.6007128746199
132,132,302.6108295696403
133,133,302.62094626466074
134,134,302.6310629596812
135,135,302.6411796547016
136,136,302.65129634972203
137,137,302.66141304474246
138,138,302.6715297397629
139,139,302.6816464347833
140,140,302.69176312980375
141,141,302.7018798248242
142,142,302.7119965198446
143,143,302.72211321486503
144,144,302.73222990988546
145,145,302.7423466049059
146,146,302.7524632999263
147,147,302.76257999494675
148,148,302.7726966899672
149,149,302.7828133849876
150,150,302.79293008000803
151,151,302.80304677502846
152,152,302.8131634700489
153,153,302.8232801650693
154,154,302.83339686008975
155,155,302.8435135551102
156,156,302.8536302501306
157,157,302.86374694515104
158,158,302.87386364017146
159,159,302.8839803351919
160,160,302.8940970302124
161,161,302.9042137252328
162,162,302.91433042025324
163,163,302.92444711527367
164,164,302.9345638102941
165,165,302.9446805053145
166,166,302.95479720033495
167,167,302.9649138953554
168,168,302.9750305903758
169,169,302.98514728539624
170,170,302.99526398041667
171,171,303.0053806754371
172,172,303.0154973704575
173,173,303.02561406547795
174,174,303.0357307604984
175,175,303.0458474555188
176,176,303.05596415053924
177,177,303.06608084555967
178,178,303.0761975405801
179,179,303.0863142356005
180,180,303.09643093062095
181,181,303.1065476256414
182,182,303.1166643206618
183,183,303.12678101568224
184,184,303.13689771070267
185,185,303.1470144057231
186,186,303.1571311007435
187,187,303.16724779576396
188,188,303.1773644907844
189,189,303.1874811858048
190,190,303.19759788082524
191,191,303.20771457584567
192,192,303.2178312708661
193,193,303.22794796588653
194,194,303.23806466090696
195,195,303.24818135592744
196,196,303.2582980509479
197,197,303.2684147459683
198,198,303.27853144098873
199,199,303.28864813600916
200,200,303.2987648310296
201,201,303.30888152605
202,202,303.31899822107044
203,203,303.3291149160909
204,204,303.3392316111113
205,205,303.34934830613173
206,206,303.35946500115216
207,207,303.3695816961726
208,208,303.379698391193
209,209,303.38981508621345
210,210,303.3999317812339
211,211,303.4100484762543
212,212,303.42016517127473
213,213,303.43028186629516
214,214,303.4403985613156
215,215,303.450515256336
216,216,303.46063195135645
217,217,303.4707486463769
218,218,303.4808653413973
219,219,303.49098203641773
220,220,303.50109873143816
221,221,303.5112154264586
222,222,303.521332121479
223,223,303.53144881649945
224,224,303.5415655115199
225,225,303.5516822065403
226,226,303.56179890156073
227,227,303.57191559658116
228,228,303.5820322916016
229,229,303.592148986622
230,230,303.60226568164245
231,231,303.61238237666294
232,232,303.62249907168336
233,233,303.6326157667038
234,234,303.6427324617242
235,235,303.65284915674465
236,236,303.6629658517651
237,237,303.6730825467855
238,238,303.68319924180594
239,239,303.69331593682637
240,240,303.7034326318468
241,241,303.7135493268672
242,242,303.72366602188765
243,243,303.7337827169081
244,244,303.7438994119285
245,245,303.75401610694894
246,246,303.76413280196937
247,247,303.7742494969898
248,248,303.7843661920102
249,249,303.79448288703065
250,250,303.8045995820511
251,251,303.8147162770715
