,index,SubtractOfFutureValues,Time and date at Function Run
94,94,-0.2400000000000091,2020-05-18 19:10:27.138045
95,95,-0.12000000000000455,2020-05-18 19:10:27.254193
96,96,-0.15999999999996817,2020-05-18 19:10:27.478682
97,97,-0.13999999999998636,2020-05-18 19:10:27.689029
98,98,-0.4000000000000341,2020-05-18 19:10:27.918384
99,99,-0.29000000000002046,2020-05-18 19:10:28.243359
100,100,0.12999999999999545,2020-05-18 19:10:28.719196
101,101,-0.12999999999999545,2020-05-18 19:10:28.843121
102,102,-0.37999999999999545,2020-05-18 19:10:29.158361
103,103,-0.15499999999997272,2020-05-18 19:10:29.719096
104,104,0.05000000000001137,2020-05-18 19:10:29.924032
105,105,-0.15500000000002956,2020-05-18 19:10:30.134876
106,106,0.020000000000038654,2020-05-18 19:10:30.262776
107,107,0.37000000000000455,2020-05-18 19:10:30.559894
108,108,0.2799999999999727,2020-05-18 19:10:30.868304
109,109,0.12000000000000455,2020-05-18 19:10:31.107446
110,110,-0.19999999999998863,2020-05-18 19:10:31.598896
111,111,-0.2400000000000091,2020-05-18 19:10:32.026327
112,112,0.0,2020-05-18 19:10:32.301554
113,113,0.12529999999998154,2020-05-18 19:10:32.511460
114,114,-0.22100000000000364,2020-05-18 19:10:32.820303
115,115,-0.24529999999998608,2020-05-18 19:10:33.199973
116,116,0.16100000000000136,2020-05-18 19:10:33.422505
117,117,-0.2699999999999818,2020-05-18 19:10:33.636267
118,118,-0.6999999999999886,2020-05-18 19:10:33.763154
119,119,-0.285000000000025,2020-05-18 19:10:34.063722
120,120,0.16989999999998417,2020-05-18 19:10:34.182782
121,121,0.0049999999999954525,2020-05-18 19:10:34.500014
122,122,-0.18990000000002283,2020-05-18 19:10:34.816714
123,123,-0.17999999999994998,2020-05-18 19:10:35.212983
124,124,-0.01999999999998181,2020-05-18 19:10:35.607737
125,125,0.1099999999999568,2020-05-18 19:10:35.972747
126,126,-0.30000000000001137,2020-05-18 19:10:36.371946
127,127,-0.5399999999999636,2020-05-18 19:10:36.593511
128,128,-0.20999999999997954,2020-05-18 19:10:37.269422
129,129,-0.12000000000000455,2020-05-18 19:10:37.624683
130,130,0.03999999999996362,2020-05-18 19:10:37.840352
131,131,0.4199999999999591,2020-05-18 19:10:38.060004
132,132,0.35990000000003874,2020-05-18 19:10:38.376223
133,133,-0.01999999999998181,2020-05-18 19:10:38.590951
134,134,-0.029899999999997817,2020-05-18 19:10:38.830987
135,135,0.21609999999998308,2020-05-18 19:10:39.204868
136,136,0.12000000000000455,2020-05-18 19:10:39.456657
137,137,-0.05609999999995807,2020-05-18 19:10:39.765127
138,138,-0.11000000000001364,2020-05-18 19:10:39.988587
139,139,0.1449999999999818,2020-05-18 19:10:40.205264
140,140,0.45999999999997954,2020-05-18 19:10:40.424875
141,141,0.1349999999999909,2020-05-18 19:10:40.747321
142,142,-0.3499999999999659,2020-05-18 19:10:41.025528
143,143,-0.36000000000001364,2020-05-18 19:10:41.256833
144,144,-0.20340000000004466,2020-05-18 19:10:41.904894
145,145,0.07000000000005002,2020-05-18 19:10:42.303166
146,146,0.3534000000000219,2020-05-18 19:10:42.705225
147,147,0.18999999999999773,2020-05-18 19:10:43.021973
148,148,0.05000000000001137,2020-05-18 19:10:43.421156
149,149,0.21999999999997044,2020-05-18 19:10:43.733505
150,150,0.15999999999996817,2020-05-18 19:10:44.009633
151,151,-0.13999999999998636,2020-05-18 19:10:44.328290
152,152,-0.03999999999996362,2020-05-18 19:10:44.523535
153,153,0.18999999999999773,2020-05-18 19:10:44.739157
154,154,-0.06999999999999318,2020-05-18 19:10:45.055379
155,155,-0.03000000000002956,2020-05-18 19:10:45.332601
156,156,0.12999999999999545,2020-05-18 19:10:45.650794
157,157,0.0,2020-05-18 19:10:46.125079
158,158,-0.1500000000000341,2020-05-18 19:10:46.526257
159,159,-0.03999999999996362,2020-05-18 19:10:46.824909
160,160,0.12000000000000455,2020-05-18 19:10:47.066971
161,161,0.11410000000000764,2020-05-18 19:10:47.739429
162,162,0.16779999999999973,2020-05-18 19:10:48.295760
163,163,0.19589999999999463,2020-05-18 19:10:48.641799
164,164,0.09219999999999118,2020-05-18 19:10:49.031220
165,165,-0.03000000000002956,2020-05-18 19:10:49.262520
166,166,-0.20499999999998408,2020-05-18 19:10:49.636724
167,167,-0.5099999999999909,2020-05-18 19:10:49.940301
168,168,-0.5165999999999826,2020-05-18 19:10:50.231157
169,169,-0.10500000000001819,2020-05-18 19:10:50.539596
170,170,0.12160000000000082,2020-05-18 19:10:50.656236
171,171,-0.009999999999990905,2020-05-18 19:10:50.966036
172,172,-0.019900000000006912,2020-05-18 19:10:51.445814
173,173,0.09210000000001628,2020-05-18 19:10:51.773752
174,174,0.099899999999991,2020-05-18 19:10:52.178826
175,175,-0.10719999999997754,2020-05-18 19:10:52.503782
176,176,-0.0999999999999659,2020-05-18 19:10:52.717571
177,177,-0.13990000000001146,2020-05-18 19:10:52.940535
178,178,-0.5200000000000387,2020-05-18 19:10:53.332833
179,179,-0.5200000000000387,2020-05-18 19:10:53.815038
180,180,-0.37999999999999545,2020-05-18 19:10:53.938963
181,181,-0.03999999999996362,2020-05-18 19:10:54.154622
182,182,0.2400000000000091,2020-05-18 19:10:54.371819
183,183,0.08979999999996835,2020-05-18 19:10:54.689116
184,184,0.029999999999972715,2020-05-18 19:10:54.986753
185,185,-0.07979999999997744,2020-05-18 19:10:55.197957
186,186,-0.16999999999995907,2020-05-18 19:10:55.323919
187,187,-0.339999999999975,2020-05-18 19:10:55.446865
188,188,-0.21530000000001337,2020-05-18 19:10:55.564985
189,189,-0.040000000000020464,2020-05-18 19:10:56.063682
190,190,-0.054700000000025284,2020-05-18 19:10:56.464849
191,191,0.18999999999999773,2020-05-18 19:10:56.776196
192,192,0.34000000000003183,2020-05-18 19:10:57.056304
193,193,0.5299999999999727,2020-05-18 19:10:57.265680
194,194,0.4900000000000091,2020-05-18 19:10:57.494044
195,195,0.27000000000003865,2020-05-18 19:10:57.796631
196,196,-0.060000000000002274,2020-05-18 19:10:58.036789
